I ca n't believe I wrote all that last year .	3.4	3.1
Because I 've been grading all damn day and am as tired as a Swearengen of hearing other about the finished semesters of pretty much every other academic blogger , I thought that it might be best to avoid jealously lashing out and scribble a `` Best of Acephalous 2009 '' post .	3.5	3.5
However , when I started looking through my archives , it occurred to me that my output this year defines me much more sharply than in years past .	3.2	3.5
What do I mean ?	3.1	2.9
The posts I consider foundational to my current professional identity all seem to have been composed in 2009 .	3.0	3.1
Granted , the likelihood that I 'm suffering from the identitarian equivalent of presentism is awfully high , but I honestly thought I 'd written some of the posts from early 2009 in 2006 or so .	2.733333333333335	2.616666666666665
It may also be that I remember the scene of their writing , which would have been in the old apartment , i.e. the place I barely remember ever having lived in anymore .	3.0	2.9
If you have absolutely nothing better to do on a Friday night , feel free to scan through my 2009 archives and tell me what you think should be included in the `` Best of '' post .	3.1	3.2
If you do have something better to do , though , by all means do it .	3.1	3.4000000000000004
Why is someone so young not having fun with friends on a Friday night .	3.0	2.8
Granted grading papers is important , but no fun makes for a boring life .	2.8	3.0
I should know .	3.0	3.1
since , when I was your age I had fun playing with my adorable son and caring for another baby .	3.3	3.2
You need to try to have a life outside your computer .	2.9	3.4
Just saying ... it seems I have more life now then you have and we know how little I get out !	3.3	3.4000000000000004
The one that really stuck in my mind was explaining transitions in the panels of Watchmen .	3.1	3.2
I 'd read Watchmen a short while before and appreciated its narrative complexity , but not being used to reading comics , had n't registered all the technical tricks that the artist was using to achieve this .	3.1	3.1
The post not only taught me something about the grammar of such images , but more importantly led to me realising that there is a grammar to look for in the first place .	3.1	3.0999999999999996
So thanks a lot for that one .	3.4000000000000004	3.0
SEK , I started going through your back posts and noticed a pattern in my selections , so I think it would be easier -LRB- for me , because I 'm rubbish with html -RRB- to just say all the scene analysis posts and the close reading comics posts , like the one Magistra mentioned and many others after that .	2.8	3.1
Plus Justifying Comics as a Legitimate Object of Study Parts I & II .	3.0	3.1
I also liked `` Teaching the Overdetermined Image .	3.0	3.0
Your takedown of Cashill and the whole Ayers-wrote-Dreams was excellent , and the Cruel_cruel_death post -LRB- you know what I 'm talking about , right ?	3.4	3.2
Also , The Day in Actual Communist and Real Nazi History seems as relevant today as ever .	3.1	3.1
Agree with the previous two comments .	2.7857142857142847	2.8857142857142852
I do n't remember if you 've made noises here before about turning these into a book , but if you do you 've got at least one reader .	3.3	3.2
What happened to your post that appeared in my RSS reader yesterday ?	3.0	3.0
Would it be possible to arrange your posts into three ` parties ' , and give your many readers the opportunity to ` vote ' for one of them , by ` secret ballot ' ?	2.9	3.1
I feel your British readers would appreciate that .	3.2	3.2
The Internet occasionally reminds me of how different life is because of it .	3.0	3.1
I noted on Facebook that , from a statistical perspective , what makes baseball such an amazing sport is that you can watch it your entire life and still see , on a daily basis , something you 've never seen before .	3.5999999999999996	3.4
It 's a truism , I know , but it has the benefit of actually being true .	2.666666666666665	3.383333333333335
In this case , the something in question was watching the wonderfully named Angel Pagan hit an inside-the-park home run and initiate a triple play in the same game .	3.3	3.0
John Emerson responded with some humbug about it not being an inside-the-park grand slam , which made me remember that I had seen an inside-the-park grand slam at some time in the remote past .	2.9	3.2
The fact that I can verify vague memories of events that occurred twenty-five years ago astounds me in a way I sometimes forget the Internet is capable of doing .	3.2	3.2
This realization is obviously not of world-historical importance , merely a reminder that this thing whose existence we take for granted daily represents a fundamentally weird complement to human memory .	3.0	3.0
The fact that at some point in the future I can know who I rode in an elevator with on 28 December 2005 is less weird because I chose to write about riding in an elevator with Grimace .	3.0	3.1
That I can access detailed information about events I have no right remembering in detail is another matter entirely .	3.2	3.3
Joe Sambito .	3.0	3.0
Wow .	4.3	3.0999999999999996
I 'd completely forgotten about him .	3.0	3.4
I sometimes wish I could forget that Pendelton is the Braves hitting coach .	2.8	3.2
Closest I came to that was watching Dale Murphy get tagged out at the plate on what would have been an inside-the-park slam .	3.1	3.0
He pitched for the Astros before he came to the Mets , stayed for ' 85 , then he pitched for the Red Sox against the Mets in '86 World Series .	3.1	3.1
I remember him being ineffective , and as it turns out , he was .	3.0	3.1
Now that I remember him , which I did n't before , I remember him as being the pitcher who 'd pitched for 1 -RRB- the team the Mets faced to get to the '86 Series and 2 -RRB- the one they faced in it .	3.0	3.1
I did n't remember that I remember that , but now that I do , I do .	3.1	3.1
Memory , as Gertrude Stein would say , is funny .	3.1	3.0
Apparently the drug use , sexual excess , and weird UCI experiences have n't softened your brain yet .	3.2	3.4000000000000004
What 's really bothersome , though , is when you only remember things from your distant past .	2.8	2.9
My grandpa was alert till the end , but when I last saw him at age 92 everything he wanted to talk about was 70 years in the past .	2.9285714285714297	2.757142857142855
A guess , but perhaps your grandfather 's life at 22 was more interesting than the ensuing 70 yrs .	2.9	3.3
You know what makes this post great ?	3.1	2.9
No stinking cricket .	3.3	3.3
Yeah , I remember Sambito from the Astros -LRB- when the Braves were in the old NL West because it made sense to have a team 3,000 miles from most of their division rivals -RRB- .	3.0	3.1
Solid pitcher for a while .	3.1	3.2
But burned out toward the end .	2.5999999999999996	2.8
Apparently , he is a player 's representative now .	2.9	3.1
Prosthetic memory .	3.1	2.9
I like to read about others watching baseball more than I like to watch baseball by a factor of nine .	2.9	3.1
Having given up on watching the actual sport , mention of baseball now only sparks memories of The Old Man and the Sea and the old time baseball writers .	2.9000000000000004	3.0
It is true that at the end of time , the old time baseball writers will be hailed as the very best writers , as they had access to an event that was susceptible to beautiful writing , but horrendous to watch in person .	3.3	3.2
Plus , they smoked a prodigious quantity of cigarettes .	3.2	2.8
nota bene : An overdue library book is a crime against Humanities .	3.4	3.4
The Anti-Terrorist - Undermining The Motivation For Terrorism	3.1	3.1
By Rev. Bill McGinnis , Director - LoveAllPeople.org	2.75	3.0
This website and everything on it is in the Public Domain , so you may use it freely , even without attribution .	3.1	3.1
BACKGROUND , September 11 , 2004	3.1	3.0
Three years have now gone by since the September 11th attacks in 2001 , and terrorism is a far greater threat to us now than it was then .	3.2	2.9
The number and severity of terrorist attacks worldwide has increased dramatically , as has the number of active terrorists .	3.1	2.9000000000000004
Before 9/11 , terrorism was confined to a small number of extremist individuals , loosely linked by radical Islam and hatred of Israel and its sole supporter , the USA .	3.1	3.0
Now , many more moderate Muslims have become radicalized , world-wide , willing to kill innocent civilians in order to achieve their purposes .	3.2	2.8
And the serious targets have expanded to include civilians in Russia , India , Maylasia , the Philippines , Spain , and elsewhere , as well as Israel and its sole supporter , the United States .	3.1833333333333353	2.833333333333335
True , the USA has not suffered a successful major attack since 9/11 , but this does not mean that we are safer .	3.3	2.8
The terrorists could strike any time they choose , through any of the numerous loopholes so well reported in our media .	3.1	3.0
But they have chosen not to attack , perhaps because they are waiting to produce an effect even greater than the 9/11 attacks , so they do not appear to be losing strength .	3.3	3.1
What could be more spectacular than the 9/11 attacks ?	3.0	3.2
Nuclear !	3.9000000000000004	3.4000000000000004
Or massive bio-chemical attack !	3.6	2.7
And I think this is what they are waiting for .	3.0	3.3
All of our frantic preparations may have had some effect in preventing small-time casual attacks , but they can not stop a serious planned attack , any more than a mere door lock can stop a serious robber who really wants to get into your house .	3.2	2.9000000000000004
So the Bush administration can keep claiming that we are safer now , under their policies .	3.0	2.8
But this claim is merely feel-good propaganda , intended to keep the neo-cons in power .	3.2	3.0
It can not withstand clear-headed scrutiny .	3.2	3.3
The fact is , Bush policies have failed completely even to diminish terrorism , much less defeat it .	3.0	2.8
By trying to `` stamp out '' terrorism by killing terrorists , Bush and Israel have made things infinitely worse for us : more dangerous , not safer .	3.4000000000000004	2.8
And proof that Bush has failed may come at any moment , explosively , with one big successful attack here in the USA .	3.2	3.0
May God help us all .	3.2	2.3
WHAT IS TERRORISM ?	3.4000000000000004	2.8
TERRORISM is `` the systematic use of violence to create a general climate of fear in a population and thereby to bring about a particular political objective .	3.1	3.0
We believe that any terrorist act is a crime against humanity and against the will of God , because it deliberately intends to injure and kill innocent people .	3.0	3.2
NEUTRALIZING TERRORISM	3.4000000000000004	3.4000000000000004
Our purpose here is to NEUTRALIZE TERRORISM by removing the motivation for it .	3.4	3.5
Without motivation , terrorism will quickly die down , like a plant without water .	3.0	3.1
We completely reject the idea that terrorism can be defeated by brute force , because brute force radicalizes the moderates , and they then join the terrorists .	3.1	3.0999999999999996
So you end up fighting the entire population .	3.3	3.0
Brute force has failed in Palestine , and it is failing in Iraq .	3.1	2.8
And the second-greatest terrorist threat comes from several countries , mainly Israel , who sometimes resort to terrorism themselves , claiming `` self-defense , '' as they desperately try to prevent further attacks by radical Muslims .	3.1	3.0
In all of these cases above , if the radical Muslims would cease their attacks , all terrorism on both sides of every dispute would quickly end .	3.1	3.1
Beyond these two sources , there is virtually no terrorist activity in the world , with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups .	3.0285714285714302	2.957142857142855
The moral and religious theories which support terrorism are quite faulty and erroneous .	3.1	3.2
They need to be identified and attacked .	3.5	3.8
If the terrorist loses faith in the righteousness of his acts , he is less likely to perform them .	3.0	3.1
EXAMPLE 1 : `` Terrorists Offend Allah . ''	3.2	3.2
EXAMPLE 2 : `` Terrorist Murderers Insult Allah , Bring Shame To Islam ''	3.5	3.0
EXAMPLE 3 -LRB- LATEST AND BEST ! - Framed Below -RRB- : `` Qur ` an Forbids Terrorism ''	3.4	3.5
In every case of terrorism , we will find some kind of legitimate underlying grievance .	3.1	3.1
If we eliminate the legitimate grievances , we have eliminated much of the motivation .	3.2	3.4000000000000004
Is this `` negotiating with terrorists '' or `` trying to appease the terrorists , '' as some Israeli/NeoCons would try to say ?	3.2	3.2
No .	3.3	3.5
It is simply recognizing the realities of human motivation , right or wrong .	2.7	2.9
To deny reality , as the Israeli/NeoCons do , is to invite disaster , as they have done .	3.0	3.5
BIG PICTURE	2.8	3.0
A big picture of our entire Anti-Terrorism strategy can be found at our website	3.0	3.1
Blessings to you .	3.116666666666665	2.833333333333335
May God help us all .	3.3	2.3
Blessings to you .	2.833333333333335	2.75
May God help us all .	3.3	2.4000000000000004
Rev. Bill McGinnis , Director - LoveAllPeople.org	2.8	3.1
Tibetan Buddhist Retreat	3.0	3.0
